low_res,high_res
./dataset/train/low_res/0.png,./dataset/train/high_res/0.png
./dataset/train/low_res/1.png,./dataset/train/high_res/1.png
./dataset/train/low_res/2.png,./dataset/train/high_res/2.png
./dataset/train/low_res/3.png,./dataset/train/high_res/3.png
./dataset/train/low_res/4.png,./dataset/train/high_res/4.png
./dataset/train/low_res/5.png,./dataset/train/high_res/5.png
./dataset/train/low_res/6.png,./dataset/train/high_res/6.png
./dataset/train/low_res/7.png,./dataset/train/high_res/7.png
./dataset/train/low_res/8.png,./dataset/train/high_res/8.png
./dataset/train/low_res/9.png,./dataset/train/high_res/9.png
./dataset/train/low_res/10.png,./dataset/train/high_res/10.png
./dataset/train/low_res/11.png,./dataset/train/high_res/11.png
./dataset/train/low_res/12.png,./dataset/train/high_res/12.png
./dataset/train/low_res/13.png,./dataset/train/high_res/13.png
./dataset/train/low_res/14.png,./dataset/train/high_res/14.png
./dataset/train/low_res/15.png,./dataset/train/high_res/15.png
./dataset/train/low_res/16.png,./dataset/train/high_res/16.png
./dataset/train/low_res/17.png,./dataset/train/high_res/17.png
./dataset/train/low_res/18.png,./dataset/train/high_res/18.png
./dataset/train/low_res/19.png,./dataset/train/high_res/19.png
./dataset/train/low_res/20.png,./dataset/train/high_res/20.png
./dataset/train/low_res/21.png,./dataset/train/high_res/21.png
./dataset/train/low_res/22.png,./dataset/train/high_res/22.png
./dataset/train/low_res/23.png,./dataset/train/high_res/23.png
./dataset/train/low_res/24.png,./dataset/train/high_res/24.png
./dataset/train/low_res/25.png,./dataset/train/high_res/25.png
./dataset/train/low_res/26.png,./dataset/train/high_res/26.png
./dataset/train/low_res/27.png,./dataset/train/high_res/27.png
./dataset/train/low_res/28.png,./dataset/train/high_res/28.png
./dataset/train/low_res/29.png,./dataset/train/high_res/29.png
./dataset/train/low_res/30.png,./dataset/train/high_res/30.png
./dataset/train/low_res/31.png,./dataset/train/high_res/31.png
./dataset/train/low_res/32.png,./dataset/train/high_res/32.png
./dataset/train/low_res/33.png,./dataset/train/high_res/33.png
./dataset/train/low_res/34.png,./dataset/train/high_res/34.png
./dataset/train/low_res/35.png,./dataset/train/high_res/35.png
./dataset/train/low_res/36.png,./dataset/train/high_res/36.png
./dataset/train/low_res/37.png,./dataset/train/high_res/37.png
./dataset/train/low_res/38.png,./dataset/train/high_res/38.png
./dataset/train/low_res/39.png,./dataset/train/high_res/39.png
./dataset/train/low_res/40.png,./dataset/train/high_res/40.png
./dataset/train/low_res/41.png,./dataset/train/high_res/41.png
./dataset/train/low_res/42.png,./dataset/train/high_res/42.png
./dataset/train/low_res/43.png,./dataset/train/high_res/43.png
./dataset/train/low_res/44.png,./dataset/train/high_res/44.png
./dataset/train/low_res/45.png,./dataset/train/high_res/45.png
./dataset/train/low_res/46.png,./dataset/train/high_res/46.png
./dataset/train/low_res/47.png,./dataset/train/high_res/47.png
./dataset/train/low_res/48.png,./dataset/train/high_res/48.png
./dataset/train/low_res/49.png,./dataset/train/high_res/49.png
./dataset/train/low_res/50.png,./dataset/train/high_res/50.png
./dataset/train/low_res/51.png,./dataset/train/high_res/51.png
./dataset/train/low_res/52.png,./dataset/train/high_res/52.png
./dataset/train/low_res/53.png,./dataset/train/high_res/53.png
./dataset/train/low_res/54.png,./dataset/train/high_res/54.png
./dataset/train/low_res/55.png,./dataset/train/high_res/55.png
./dataset/train/low_res/56.png,./dataset/train/high_res/56.png
./dataset/train/low_res/57.png,./dataset/train/high_res/57.png
./dataset/train/low_res/58.png,./dataset/train/high_res/58.png
./dataset/train/low_res/59.png,./dataset/train/high_res/59.png
./dataset/train/low_res/60.png,./dataset/train/high_res/60.png
./dataset/train/low_res/61.png,./dataset/train/high_res/61.png
./dataset/train/low_res/62.png,./dataset/train/high_res/62.png
./dataset/train/low_res/63.png,./dataset/train/high_res/63.png
./dataset/train/low_res/64.png,./dataset/train/high_res/64.png
./dataset/train/low_res/65.png,./dataset/train/high_res/65.png
./dataset/train/low_res/66.png,./dataset/train/high_res/66.png
./dataset/train/low_res/67.png,./dataset/train/high_res/67.png
./dataset/train/low_res/68.png,./dataset/train/high_res/68.png
./dataset/train/low_res/69.png,./dataset/train/high_res/69.png
./dataset/train/low_res/70.png,./dataset/train/high_res/70.png
./dataset/train/low_res/71.png,./dataset/train/high_res/71.png
./dataset/train/low_res/72.png,./dataset/train/high_res/72.png
./dataset/train/low_res/73.png,./dataset/train/high_res/73.png
./dataset/train/low_res/74.png,./dataset/train/high_res/74.png
./dataset/train/low_res/75.png,./dataset/train/high_res/75.png
./dataset/train/low_res/76.png,./dataset/train/high_res/76.png
./dataset/train/low_res/77.png,./dataset/train/high_res/77.png
./dataset/train/low_res/78.png,./dataset/train/high_res/78.png
./dataset/train/low_res/79.png,./dataset/train/high_res/79.png
./dataset/train/low_res/80.png,./dataset/train/high_res/80.png
./dataset/train/low_res/81.png,./dataset/train/high_res/81.png
./dataset/train/low_res/82.png,./dataset/train/high_res/82.png
./dataset/train/low_res/83.png,./dataset/train/high_res/83.png
./dataset/train/low_res/84.png,./dataset/train/high_res/84.png
./dataset/train/low_res/85.png,./dataset/train/high_res/85.png
./dataset/train/low_res/86.png,./dataset/train/high_res/86.png
./dataset/train/low_res/87.png,./dataset/train/high_res/87.png
./dataset/train/low_res/88.png,./dataset/train/high_res/88.png
./dataset/train/low_res/89.png,./dataset/train/high_res/89.png
./dataset/train/low_res/90.png,./dataset/train/high_res/90.png
./dataset/train/low_res/91.png,./dataset/train/high_res/91.png
./dataset/train/low_res/92.png,./dataset/train/high_res/92.png
./dataset/train/low_res/93.png,./dataset/train/high_res/93.png
./dataset/train/low_res/94.png,./dataset/train/high_res/94.png
./dataset/train/low_res/95.png,./dataset/train/high_res/95.png
./dataset/train/low_res/96.png,./dataset/train/high_res/96.png
./dataset/train/low_res/97.png,./dataset/train/high_res/97.png
./dataset/train/low_res/98.png,./dataset/train/high_res/98.png
./dataset/train/low_res/99.png,./dataset/train/high_res/99.png
./dataset/train/low_res/100.png,./dataset/train/high_res/100.png
./dataset/train/low_res/101.png,./dataset/train/high_res/101.png
./dataset/train/low_res/102.png,./dataset/train/high_res/102.png
./dataset/train/low_res/103.png,./dataset/train/high_res/103.png
./dataset/train/low_res/104.png,./dataset/train/high_res/104.png
./dataset/train/low_res/105.png,./dataset/train/high_res/105.png
./dataset/train/low_res/106.png,./dataset/train/high_res/106.png
./dataset/train/low_res/107.png,./dataset/train/high_res/107.png
./dataset/train/low_res/108.png,./dataset/train/high_res/108.png
./dataset/train/low_res/109.png,./dataset/train/high_res/109.png
./dataset/train/low_res/110.png,./dataset/train/high_res/110.png
./dataset/train/low_res/111.png,./dataset/train/high_res/111.png
./dataset/train/low_res/112.png,./dataset/train/high_res/112.png
./dataset/train/low_res/113.png,./dataset/train/high_res/113.png
./dataset/train/low_res/114.png,./dataset/train/high_res/114.png
./dataset/train/low_res/115.png,./dataset/train/high_res/115.png
./dataset/train/low_res/116.png,./dataset/train/high_res/116.png
./dataset/train/low_res/117.png,./dataset/train/high_res/117.png
./dataset/train/low_res/118.png,./dataset/train/high_res/118.png
./dataset/train/low_res/119.png,./dataset/train/high_res/119.png
./dataset/train/low_res/120.png,./dataset/train/high_res/120.png
./dataset/train/low_res/121.png,./dataset/train/high_res/121.png
./dataset/train/low_res/122.png,./dataset/train/high_res/122.png
./dataset/train/low_res/123.png,./dataset/train/high_res/123.png
./dataset/train/low_res/124.png,./dataset/train/high_res/124.png
./dataset/train/low_res/125.png,./dataset/train/high_res/125.png
./dataset/train/low_res/126.png,./dataset/train/high_res/126.png
./dataset/train/low_res/127.png,./dataset/train/high_res/127.png
./dataset/train/low_res/128.png,./dataset/train/high_res/128.png
./dataset/train/low_res/129.png,./dataset/train/high_res/129.png
./dataset/train/low_res/130.png,./dataset/train/high_res/130.png
./dataset/train/low_res/131.png,./dataset/train/high_res/131.png
./dataset/train/low_res/132.png,./dataset/train/high_res/132.png
./dataset/train/low_res/133.png,./dataset/train/high_res/133.png
./dataset/train/low_res/134.png,./dataset/train/high_res/134.png
./dataset/train/low_res/135.png,./dataset/train/high_res/135.png
./dataset/train/low_res/136.png,./dataset/train/high_res/136.png
./dataset/train/low_res/137.png,./dataset/train/high_res/137.png
./dataset/train/low_res/138.png,./dataset/train/high_res/138.png
./dataset/train/low_res/139.png,./dataset/train/high_res/139.png
./dataset/train/low_res/140.png,./dataset/train/high_res/140.png
./dataset/train/low_res/141.png,./dataset/train/high_res/141.png
./dataset/train/low_res/142.png,./dataset/train/high_res/142.png
./dataset/train/low_res/143.png,./dataset/train/high_res/143.png
